,strain,id,flavors,positive,medical,Type,Rating,Flavor
108,Big White,254,"Flowery, Diesel, Earthy","Relaxed, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.2,"Flowery,Diesel,Sweet"
109,Big Wreck,255,"Earthy, Pungent, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Stress, Headache, Fatigue, Muscle Spasms",indica,4.1,"Earthy,Pungent,Nutty"
110,Biochem,259,"Spicy/Herbal, Skunk, Earthy","Relaxed, Hungry, Euphoric, Sleepy, Aroused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",indica,4.4,"Spicy/Herbal,Earthy,Cheese"
111,Birthday Cake Kush,261,"Sweet, Vanilla, Skunk","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.5,"Sweet,Vanilla,Lemon"
112,Black Afghan,263,"Pepper, Earthy, Pungent","Relaxed, Hungry, Euphoric, Sleepy","Depression, Pain, Stress, Lack of Appetite, Inflammation",indica,4.6,"Earthy,Pine,Pepper"
113,Black Betty,264,"Berry, Sweet, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Sweet,Berry,Pungent"
114,Black Bubba,265,"Earthy, Flowery, Pine","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Seizures",indica,4.5,"Earthy,Flowery,Pine"
115,Black Cherry Cheesecake,266,"Berry, Sweet, Cheese","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Cramps, Nausea, Headaches, Eye Pressure",hybrid,4.5,"Berry,Sweet,Cheese"
116,Black Cherry Pie,268,"Earthy, Lavender, Plum","Relaxed, Euphoric, Happy, Creative, Uplifted","Insomnia, Pain, Cramps, Lack of Appetite, Nausea",hybrid,5.0,"Earthy,Berry,Sweet"
117,Black Cherry Soda,269,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.3,"Sweet,Berry,Earthy"
118,Black Diamond,271,"Earthy, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.4,"Earthy,Woody,Berry"
