,strain,id,flavors,positive,medical,Type,Rating,Flavor
775,Kaia Kush,1138,"Spicy/Herbal, Earthy, Flowery","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headaches",hybrid,4.7,"Lemon,Sweet,Pungent"
777,Kalashnikova,1140,"Sweet, Flowery, Earthy","Euphoric, Happy, Talkative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.3,"Sweet,Citrus,Earthy"
778,Kali 47,1142,"Sweet, Vanilla","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Fatigue, Headaches, Inflammation, Muscle Spasms",sativa,5.0,"Sweet,Vanilla"
779,Kali China,1143,"Earthy, Mango, Minty","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",indica,4.2,"Spicy/Herbal,Minty,Pepper"
780,Kali Dog,1144,"Citrus, Earthy, Lemon","Relaxed, Happy, Energetic, Uplifted, Sleepy","Pain, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.8,"Citrus,Lemon,Diesel"
781,Kali Mist,1145,"Earthy, Citrus, Sweet","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",sativa,4.1,"Woody,Earthy,Citrus"
782,Kandahar,1146,"Earthy, Apricot, Honey","Relaxed, Euphoric, Sleepy, Giggly","Depression, Insomnia, Pain, Stress",indica,4.7,"Apricot,Earthy,Spicy/Herbal"
783,Kandy Kush,1147,"Sweet, Citrus, Lemon","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.3,"Sweet,Citrus,Lemon"
784,Karma Bitch,1149,"Coffee, Earthy, Tea","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Spasticity",hybrid,4.4,"Earthy,Coffee,Tea"
785,Katsu Bubba Kush,1150,"Pungent, Grape, Plum","Relaxed, Euphoric, Happy, Tingly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.4,"Lime,Sweet,Minty"
786,Katsu Kush,1151,"Earthy, Sweet, Berry","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.1,"Earthy,Sweet,Woody"
787,Kelly Hill Gold,1153,"Earthy, Pepper, Coffee","Euphoric, Happy, Energetic, Talkative, Aroused","Pain, Stress, Cramps, Inflammation, Muscle Spasms",indica,5.0,"Pepper,Earthy,Coffee"
788,Kerala Krush,1155,"Mango, Sweet, Orange","Relaxed, Hungry, Happy, Energetic, Focused","Depression, Cramps, Nausea, Fatigue",sativa,4.6,"Mango,Sweet,Orange"
789,Key Lime Pie,1156,"Lime, Sweet, Citrus","Relaxed, Euphoric, Happy, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Lime,Sweet,Citrus"
790,Khalifa Kush,1157,"Lemon, Pungent, Citrus","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.7,"Earthy,Pine,Lemon"
791,Khufu,1159,"Pungent, Sweet, Woody","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",indica,4.2,"Pungent,Sweet,Woody"
792,Kilimanjaro,1161,"Earthy, Spicy/Herbal, Pepper","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.5,"Lemon,Earthy,Spicy/Herbal"
793,Kill Bill,1162,"Pine, Diesel, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.4,"Pine,Diesel,Sage"
794,Killer Grape,1163,"Sweet, Tropical, Grape","Relaxed, Euphoric, Happy, Uplifted","Pain, Stress, Cramps, Lack of Appetite, Fatigue",hybrid,4.6,"Sweet,Grape,Tropical"
795,Killer Queen,1164,"Citrus, Lemon, Orange","Happy, Creative, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.3,"Citrus,Sweet,Tropical"
796,Killing Fields,1165,"Lemon, Earthy, Pungent","Happy, Creative, Energetic, Focused, Aroused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.5,"Lemon,Citrus,Pungent"
797,Kimbo Kush,1166,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.5,"Earthy,Sweet,Pungent"
798,King Cake,1167,"Sweet, Vanilla, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted","Stress, Lack of Appetite, Eye Pressure",hybrid,4.8,"Sweet,Vanilla,Skunk"
799,King Kong,1168,"Pungent, Earthy, Flowery","Relaxed, Euphoric, Happy, Tingly","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.2,"Earthy,Flowery,Pungent"
800,Kiwiskunk,1173,"Spicy/Herbal, Woody, Citrus","Hungry, Euphoric, Happy, Sleepy, Aroused","Depression, Insomnia, Stress, Headache",indica,3.9,"Spicy/Herbal,Pungent,Woody"
801,Kobain Kush,1174,"Earthy, Pungent, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.3,"Earthy,Ammonia,Chestnut"
802,Kona Gold,1175,"Tropical, Pineapple, Honey","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.4,"Tropical,Pineapple,Orange"
803,Kong,1176,"Citrus, Earthy, Flowery","Relaxed, Euphoric, Happy, Creative, Tingly","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.7,"Earthy,Woody,Skunk"
804,Kosher Kush,1178,"Earthy, Pungent, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.5,"Earthy,Pungent,Woody"
805,Kosher Tangie,1179,"Citrus, Orange, Pungent","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.5,"Citrus,Pine,Orange"
806,Kraken,1181,"Butter, Flowery, Tea","Relaxed, Euphoric, Happy, Sleepy","Pain, Stress, Headaches, Eye Pressure, Muscle Spasms",indica,4.4,"Butter,Citrus,Cheese"
807,Krishna Kush,1182,"Lavender, Pungent","Relaxed, Euphoric, Happy, Giggly, Aroused","Insomnia, Pain, Stress",indica,4.9,"Sweet,Berry,Lavender"
808,Kryptonite,1183,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Nausea, Headache, Headaches",indica,4.3,"Flowery,Tropical,Sweet"
809,Kuato,1184,"Orange, Pungent, Sweet","Euphoric, Happy, Creative, Talkative, Aroused","Depression, Pain",hybrid,5.0,"Sweet,Orange,Pungent"
810,Kuchi,1185,"Lemon, Earthy, Sweet","Relaxed, Creative, Energetic, Giggly, Aroused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,3.6,"Sweet,Earthy,Lemon"
811,Kurple Fantasy,1186,"Earthy, Grape, Flowery","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.7,"Earthy,Grape,Flowery"
812,Kush Cleaner,1187,"Woody, Diesel, Pine","Happy, Creative, Energetic, Tingly, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Woody,Pine,Diesel"
813,Kushadelic,1189,"Pine, Earthy, Berry","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Inflammation",indica,4.5,"Pungent,Pine,Earthy"
814,Kushage,1190,"Earthy, Tea, Honey","Relaxed, Euphoric, Happy, Creative, Tingly","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.4,"Earthy,Sage,Spicy/Herbal"
815,Kushashima,1191,"Pine, Pungent, Nutty","Relaxed, Euphoric, Creative, Energetic, Sleepy","Depression, Pain",hybrid,4.0,"Pungent,Pine,Sweet"
816,Kushberry,1192,"Berry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Seizures",indica,4.3,"Berry,Earthy,Lemon"
818,Ladyburn 1974,1209,"Pepper, Ammonia, Earthy","Relaxed, Hungry, Creative, Sleepy, Giggly","Pain, Lack of Appetite, Nausea, Fatigue, Eye Pressure",hybrid,4.0,"Earthy,Pepper,Ammonia"
819,Lamborghini,1213,"Diesel, Pine, Lemon","Relaxed, Hungry, Euphoric, Uplifted, Sleepy","Depression, Insomnia, Stress, Fatigue, Headaches",hybrid,4.0,"Diesel,Pine,Lime"
820,Larry Bird Kush,1214,"Sweet, Honey, Earthy","Relaxed, Euphoric, Energetic, Uplifted","Pain, Stress, Headaches, Inflammation, Seizures",hybrid,4.9,"Sweet,Orange,Earthy"
821,Lashkar Gah,1217,"Earthy, Pungent, Skunk","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite",indica,4.7,"Earthy,Pungent,Sweet"
822,Laughing Buddha,1218,"Earthy, Citrus, Pineapple","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.4,"Tropical,Sweet,Spicy/Herbal"
823,Lavender,1219,"Lavender, Flowery, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",indica,4.1,"Lavender,Flowery,Sweet"
824,Lavender Haze,1220,"Lavender, Flowery, Skunk","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Inflammation",sativa,4.1,"Lavender,Flowery,Earthy"
825,Lavender Jones,1221,"Lavender, Flowery, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.4,"Lavender,Earthy,Sweet"
826,Le Silver Royale,1223,"Cheese, Pine, Skunk","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Pain, Stress",hybrid,4.5,"Skunk,Cheese,Woody"
827,Lee Roy,1225,"Pungent, Coffee, Earthy","Relaxed, Hungry, Euphoric, Happy, Creative","Pain, Stress, Lack of Appetite, Headaches, Inflammation",indica,4.7,"Lime,Lemon,Citrus"
828,Legendary Lemon,1228,"Apricot, Chemical, Pungent","Relaxed, Euphoric, Creative, Aroused","Depression, Insomnia, Pain, Nausea, Inflammation",sativa,4.0,"Apricot,Chemical,Blueberry"
829,Lemon Alien Dawg,1230,"Citrus, Lemon, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.5,"Pungent,Pine,Earthy"
831,Lemon Bubble,1232,"Lemon, Earthy, Pungent","Happy, Creative, Energetic, Talkative, Giggly","Depression, Pain, Stress, Headaches, Muscle Spasms",sativa,4.6,"Lemon,Citrus,Sweet"
832,Lemon Cake,1233,"Cheese, Lemon, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Energetic",Stress,sativa,4.3,"Lemon,Cheese,Sweet"
833,Lemon Daddy,1234,"Lemon, Citrus, Diesel","Relaxed, Happy, Energetic, Focused, Giggly","Depression, Pain, Stress, Fatigue, Muscle Spasms",hybrid,4.1,"Lemon,Citrus,Earthy"
834,Lemon Diesel,1235,"Lemon, Diesel, Citrus","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.2,"Lemon,Diesel,Citrus"
835,Lemon Drop,1236,"Lemon, Citrus, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Pain, Stress, Lack of Appetite, Headache, Inflammation, Muscle Spasms",hybrid,4.1,"Lemon,Citrus,Pine"
836,Lemon Fire,1237,"Citrus, Earthy, Lemon","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Headaches",hybrid,4.7,"Citrus,Lemon,Earthy"
837,Lemon G,1238,"Lemon, Citrus, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Lemon,Sweet,Pungent"
838,Lemon Haze,1239,"Lemon, Citrus, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Lemon,Citrus,Sweet"
839,Lemon Jack,1240,"Lemon, Citrus, Earthy","Relaxed, Euphoric, Happy, Energetic, Giggly","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.4,"Lemon,Citrus,Sweet"
840,Lemon Kush,1242,"Lemon, Citrus, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.1,"Lemon,Citrus,Earthy"
841,Lemon Larry Lavender,1243,"Citrus, Lavender, Lemon","Relaxed, Creative, Energetic, Focused","Depression, Stress",hybrid,4.1,"Citrus,Lemon,Lavender"
842,Lemon Marmalade,1244,"Lemon, Diesel, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Lack of Appetite",hybrid,4.8,"Lemon,Diesel,Sweet"
843,Lemon Meringue,1245,"Lemon, Citrus, Sweet","Happy, Creative, Energetic, Talkative, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headaches",sativa,4.7,"Lemon,Citrus,Sweet"
844,Lemon Pie,1248,"Citrus, Lemon, Diesel","Euphoric, Happy, Energetic, Uplifted, Sleepy","Depression, Stress, Cramps, Fatigue, Headaches",sativa,4.2,"Lemon,Citrus,Diesel"
845,Lemon Sativa,1249,"Lemon, Citrus, Earthy","Euphoric, Happy, Creative, Energetic, Focused","Depression, Insomnia, Pain, Stress, Headache, Fatigue",sativa,4.2,"Lemon,Citrus,Earthy"
846,Lemon Skunk,1250,"Lemon, Skunk, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.3,"Lemon,Skunk,Citrus"
847,Lemon Thai,1251,"Lemon, Sweet, Minty","Relaxed, Happy, Talkative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.1,"Lemon,Citrus,Earthy"
848,Lemon Wreck,1253,"Earthy, Lemon, Citrus","Relaxed, Hungry, Happy, Energetic, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.1,"Lemon,Citrus,Diesel"
849,Lemonberry,1254,"Lemon, Blueberry, Citrus","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",hybrid,4.3,"Lemon,Sweet,Blueberry"
850,Lemonder,1255,"Citrus, Lemon, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.5,"Citrus,Lemon,Earthy"
851,Leonidas,1257,"Grape, Lavender, Violet","Creative, Energetic, Focused, Aroused","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms",sativa,4.0,"Grape,Lavender,Violet"
852,Lethal Purple,1258,"Flowery, Grape, Sweet","Hungry, Euphoric, Happy, Creative, Talkative","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,3.3,"Sweet,Grape,Flowery"
853,Liberty Haze,1259,"Earthy, Citrus, Lime","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.5,"Citrus,Lime,Sweet"
854,Lifesaver,1260,"Sweet, Berry, Honey","Relaxed, Euphoric, Uplifted, Sleepy, Focused","Insomnia, Pain, Stress, Cramps, Muscle Spasms",hybrid,4.5,"Citrus,Sweet,Berry"
855,Lime Green Skunk,1262,"Lime, Diesel, Pungent","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.5,"Lime,Citrus,Tropical"
856,Lime Purple Mist,1264,"Lime, Berry, Mint","Relaxed, Euphoric, Happy, Sleepy","Depression, Pain, Stress, Cramps, Lack of Appetite",indica,4.3,"Berry,Lime,Sweet"
857,Lime Skunk,1265,"Lime, Citrus, Skunk","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.8,"Lime,Citrus,Pungent"
858,Limon,1266,"Lemon, Citrus, Diesel","Relaxed, Happy, Talkative, Aroused","Depression, Pain, Stress, Fatigue, Inflammation",sativa,4.8,"Lemon,Citrus,Diesel"
859,Lions Gate,1267,"Citrus, Menthol, Orange","Relaxed, Happy, Creative, Energetic, Uplifted","Insomnia, Stress, Nausea, Headache, Headaches, Inflammation",indica,4.4,"Menthol,Sage,Citrus"
860,Liquid Butter,1268,"Butter, Earthy, Woody","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Cramps",indica,4.5,"Butter,Earthy,Woody"
861,Little Dragon,1270,"Citrus, Flowery, Mango","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Fatigue, Inflammation, Muscle Spasms",hybrid,5.0,"Diesel,Minty,Woody"
862,Locktite,1271,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Energetic, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.3,"Diesel,Citrus,Woody"
863,Locomotion,1272,"Earthy, Pungent, Sweet","Relaxed, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Nausea",indica,4.6,"Earthy,Sweet,Pungent"
864,Lodi Dodi,1273,"Flowery, Honey, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Headaches, Eye Pressure",hybrid,4.5,"Sweet,Flowery,Tropical"
865,Logic Diesel,1274,"Diesel, Chemical, Coffee","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Fatigue",hybrid,4.8,"Diesel,Skunk,Minty"
866,Longbottom Leaf,1275,"Citrus, Lemon, Lime","Euphoric, Happy, Creative, Energetic, Aroused","Depression, Lack of Appetite, Fatigue, Eye Pressure, Inflammation",hybrid,4.8,"Pepper,Sweet,Spicy/Herbal"
867,Loud Dream,1277,"Earthy, Spicy/Herbal, Citrus","Relaxed, Happy, Creative, Talkative, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.1,"Pine,Earthy,Spicy/Herbal"
868,Loud Scout,1278,"Grape, Berry, Flowery","Relaxed, Happy, Creative, Energetic","Depression, Pain, Nausea, Headache, Fatigue",hybrid,4.4,"Grape,Sweet,Tropical"
869,Lowryder,1281,"Pungent, Sweet, Citrus","Relaxed, Happy, Creative, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.4,"Sweet,Pine,Citrus"
870,Lucid Bolt,1285,"Blueberry, Berry, Earthy","Relaxed, Hungry, Sleepy, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Headaches",indica,5.0,"Blueberry,Berry,Earthy"
871,Lucid Dream,1286,"Sweet, Blueberry, Berry","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Berry,Blueberry,Sweet"
872,Lucky Charms,1287,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.5,"Berry,Sweet,Citrus"
873,Lucy,1288,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.4,"Earthy,Woody,Sweet"
874,Mad Dawg,1292,"Earthy, Citrus, Flowery","Hungry, Happy, Energetic, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.5,"Sweet,Earthy,Citrus"
875,Mad Scientist,1293,"Woody, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.6,"Woody,Pungent,Pine"
876,Madagascar,1294,"Earthy, Skunk, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Headaches, Muscle Spasms",indica,4.1,"Earthy,Sweet,Skunk"
877,Madcow,1295,"Earthy, Sweet, Ammonia","Relaxed, Creative, Energetic, Uplifted, Sleepy","Depression, Stress, Cramps, Fatigue, Eye Pressure",sativa,3.4,"Sweet,Earthy,Ammonia"
878,Magic Jordan,1299,"Earthy, Lemon, Minty","Relaxed, Euphoric, Creative, Focused","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation",hybrid,4.0,"Minty,Orange,Lemon"
879,Magnum,1300,"Earthy, Spicy/Herbal, Flowery","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,3.9,"Earthy,Citrus,Lemon"
880,Mai Tai Cookies,1302,"Orange, Tree Fruit, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Pain, Nausea, Fatigue, Headaches, Eye Pressure",hybrid,4.9,"Orange,Tree,Fruit,Spicy/Herbal"
881,Majestic 12,1303,"Earthy, Sweet, Berry","Relaxed, Euphoric, Happy, Tingly","Depression, Pain, Stress, Headaches",hybrid,4.8,"Earthy,Sweet,Berry"
882,Mako Haze,1304,"Pine, Sage, Lemon","Hungry, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.2,"Pine,Citrus,Earthy"
883,Malakoff,1305,"Sweet, Earthy, Tobacco","Happy, Creative, Energetic, Talkative, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,3.7,"Sweet,Earthy,Woody"
884,Malawi,1306,"Earthy, Flowery, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Nausea, Fatigue, Headaches",sativa,4.4,"Earthy,Flowery,Grape"
885,Mammoth,1307,"Honey, Earthy, Apricot","Relaxed, Happy, Creative, Uplifted, Focused","Pain, Stress, Fatigue, Inflammation, Muscle Spasms",hybrid,4.5,"Honey,Earthy,Woody"
886,Mango,1309,"Mango, Sweet, Lemon","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.1,"Mango,Earthy,Sweet"
887,Mango Dream,1310,"Tropical, Sweet, Citrus","Relaxed, Hungry, Happy, Energetic, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,3.9,"Mango,Tropical,Earthy"
888,Mango Haze,1311,"Mango, Tropical, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.6,"Mango,Sweet,Tropical"
889,Mango Kush,1312,"Mango, Tropical, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.3,"Mango,Sweet,Citrus"
890,Mango Tango,1313,"Mango, Tropical, Tree Fruit","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Mango,Tropical,Citrus"
891,Mangolicious,1314,"Mango, Pineapple, Sweet","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Cramps, Fatigue, Muscle Spasms",indica,5.0,"Sweet,Tropical,Pineapple"
892,Manitoba Poison,1315,"Spicy/Herbal, Earthy, Cheese","Relaxed, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.5,"Spicy/Herbal,Earthy,Cheese"
893,Maple Leaf Indica,1316,"Sweet, Butter, Vanilla","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Fatigue",indica,4.3,"Sweet,Butter,Woody"
894,Marcosus Marshmellow,1318,"Minty, Berry, Grape","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Stress",hybrid,3.9,"Minty,Sweet,Berry"
895,Marionberry Kush,1320,"Berry, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.5,"Berry,Earthy,Sweet"
896,Martian Candy,1323,"Sweet, Woody, Earthy","Relaxed, Happy, Talkative, Uplifted, Giggly","Depression, Insomnia, Stress, Nausea, Fatigue",hybrid,4.7,"Sweet,Woody,Earthy"
897,Martian Mean Green,1324,"Pungent, Flowery, Skunk","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.2,"Sweet,Citrus,Grapefruit"
898,Master Bubba,1325,"Earthy, Sweet, Tropical","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Inflammation",indica,4.3,"Earthy,Pungent,Skunk"
899,Master Jedi,1326,"Pungent, Pine, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Fatigue",indica,4.4,"Skunk,Spicy/Herbal,Diesel"
900,Master Kush,1327,"Earthy, Pungent, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.3,"Earthy,Pungent,Woody"
901,Master Skunk,1329,"Skunk, Earthy, Pungent","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.6,"Skunk,Lemon,Honey"
902,Master Yoda,1330,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.5,"Pungent,Sweet,Earthy"
903,Matanuska Thunder Fuck,1331,"Earthy, Pungent, Skunk","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Earthy,Woody,Pungent"
904,Mataro Blue,1332,"Berry, Sweet, Blueberry","Relaxed, Hungry, Euphoric, Happy, Tingly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.6,"Berry,Sweet,Earthy"
905,Maui,1335,"Sweet, Citrus, Tropical","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.2,"Citrus,Sweet,Tropical"
906,Maui Berry,1336,"Berry, Citrus, Pungent","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.0,"Berry,Citrus,Pungent"
907,Maui Bubble Gift,1337,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.6,"Sweet,Citrus,Pungent"
908,Maui Citrus Punch,1338,"Citrus, Tropical, Skunk","Relaxed, Euphoric, Creative, Energetic, Uplifted","Pain, Stress, Inflammation, Muscle Spasms",sativa,4.5,"Citrus,Tropical,Skunk"
909,Maui Haole,1339,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Creative, Sleepy, Aroused","Depression, Pain, Stress, Seizures, Muscle Spasms",hybrid,4.6,"Pungent,Tropical,Earthy"
910,Maui Mango Diesel,1340,"Mango, Diesel, Tropical","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.3,"Mango,Sweet,Diesel"
